species	MGI	UniProtKB	gene	ID
MOUSE	109561	O35892	Nuclear autoantigen Sp-100	Sp100
MOUSE	1860454	Q9QWH1	Polyhomeotic-like protein 2	Phc2
MOUSE	98365	P53784	Transcription factor SOX-3	Sox3
MOUSE	2389461	D4QGC2	Mastermind-2	Maml3
MOUSE	109336	P97360	Transcription factor ETV6	Etv6
MOUSE	2685949	Q3V3W4	Protein Zbtb2	Zbtb2
MOUSE	3709324	A2ART0	Protein Gm14391	Gm6710
MOUSE	107368	Q9QVN7	Transcription elongation factor A protein 2	Tcea2
MOUSE	99213	P20662	Zinc finger Y-chromosomal protein 2	Zfy2
MOUSE	3642244	F6TSM8	Protein Gm10311	Gm10311
MOUSE	2442656	Q3U3I9	Zinc finger protein 865	Znf865
MOUSE	1347472	P35582	Hepatocyte nuclear factor 3-alpha	Foxa1
MOUSE	3026618	E9Q5A6	Protein Nr1h5	Nr1h5
MOUSE	107428	Q8BTU1	UPF0468 protein C16orf80 homolog	Gtl3
MOUSE	2447794	Q5DTW2	Scm-like with four MBT domains protein 2	Sfmbt2
MOUSE	5504034	S4R2N6	Protein Gm26919	Gm26919
MOUSE	96170	P09022	Homeobox protein Hox-A1	Hoxa1
MOUSE	3039562	Q6NZA9	Transcription initiation factor TFIID subunit 9B	Taf9b
MOUSE	1098280	P45481	CREB-binding protein	Crebbp
MOUSE	99540	Q62282	T-cell acute lymphocytic leukemia protein 2 homolog	Tal2
MOUSE	2442866	Q3LR78	CtBP-interacting BTB zinc finger protein	Zbtb38
MOUSE	2175912	Q8BM75	AT-rich interactive domain-containing protein 5B	Arid5b
MOUSE	2686600	B9EJW5	Protein Zfp174	Zfp174
MOUSE	3584369	Q6PGD2	Protein Zfp866	Zfp866
MOUSE	1342288	Q9WUN8	Transcription factor LBX2	Lbx2
MOUSE	96189	P09632	Homeobox protein Hox-B8	Hoxb8
MOUSE	97169	Q03358	Homeobox protein MSX-2	Msx2
MOUSE	2443028	Q8C176	Transcription initiation factor TFIID subunit 2	Taf2
MOUSE	2446774	Q6XAS2	MCG68109	Ssxb5
MOUSE	102949	Q61575	Forkhead box protein N1	Foxn1
MOUSE	1922865	Q6PEE4	Protein Zfp933	Zfp933
MOUSE	2142433	D3YXK1	Atherin	Samd1
MOUSE	104987	Q80US8	Max dimerization protein 3	Mxd3
MOUSE	96108	Q8BW74	Hepatic leukemia factor	Hlf
MOUSE	1929266	Q78PY7	Staphylococcal nuclease domain-containing protein 1	Snd1
MOUSE	1347468	Q64733	Forkhead box protein B2	Foxb2
MOUSE	1921593	Q3U182	CREB-regulated transcription coactivator 2	Crtc2
MOUSE	2673307	Q8CF90	Transcription factor MafA	Mafa
MOUSE	107769	Q91W94	Protein Zfp65	Zfp65
MOUSE	1924161	E9PZ26	Protein Brd1	Brd1
MOUSE	1922674	E9Q5G8	Protein Zfp820	Zfp820
MOUSE	97275	P10085	Myoblast determination protein 1	Myod1
MOUSE	1352481	Q9QY66	Zinc finger HIT domain-containing protein 2	Znhit2
MOUSE	1276106	O88874	Cyclin-K	Ccnk
MOUSE	2442505	Q4VA44	Zinc finger protein 664	Znf664
MOUSE	101877	Q61286	Transcription factor 12	Tcf12
MOUSE	96919	Q02067	Achaete-scute homolog 1	Ascl1
MOUSE	94903	Q64205	Homeobox protein DLX-3	Dlx3
MOUSE	106292	Q78WZ7	DNA-directed RNA polymerase I subunit RPA43	Twistnb
MOUSE	2682305	E9Q4Y2	Protein Rsf1	Rsf1
MOUSE	97874	P13405	Retinoblastoma-associated protein	Rb1
MOUSE	2685961	Q3UTB7	Forkhead box protein R1	Foxr1
MOUSE	3646208	D3YUB6	BTB/POZ domain-containing protein 8	Btbd8
MOUSE	108094	Q62396	Zinc finger protein 92	Zfp92
MOUSE	104621	Q8C8B0	ALX homeobox protein 1	Alx1
MOUSE	109497	P97489	Transcription factor GATA-5	Gata5
MOUSE	1346834	P45448	Nuclear receptor subfamily 5 group A member 2	Nr5a2
MOUSE	108012	P70368	Homeobox protein SEBOX	Sebox
MOUSE	2449712	Q8QZW2	Protein FEV	Fev
MOUSE	97772	P48437	Prospero homeobox protein 1	Prox1
MOUSE	96172	P31311	Homeobox protein Hox-A11	Hoxa11
MOUSE	109156	Q9CXV0	Insulin gene enhancer protein ISL-2	Isl2
MOUSE	1928377	Q9Z2U4	ETS-related transcription factor Elf-4	Elf4
MOUSE	1858199	Q62447	Cyclin-C	Ccnc
MOUSE	2135796	Q9JKP8	Chromatin accessibility complex protein 1	Chrac1
MOUSE	1347062	Q9Z125	Cyclic AMP-responsive element-binding protein 3-like protein 1	Creb3l1
MOUSE	95459	Q6KAS7	Zinc finger protein 521	Znf521
MOUSE	97245	P50540	Max-interacting protein 1	Mxi1
MOUSE	1353633	P56959	RNA-binding protein FUS	Fus
MOUSE	1925270	E9QAG4	Protein 4930522L14Rik	4930522L14Rik
MOUSE	3647286	Q7M757	Lys-63-specific deubiquitinase BRCC36-like	C6.1al
MOUSE	95390	P09066	Homeobox protein engrailed-2	En2
MOUSE	96185	P10284	Homeobox protein Hox-B4	Hoxb4
MOUSE	99211	P17012	Zinc finger X-chromosomal protein	Zfx
MOUSE	1313312	Q9R226	"KH domain-containing, RNA-binding, signal transduction-associated protein 3"	Khdrbs3
MOUSE	1921735	Q9D3W5	Leucine-rich repeat-containing protein 71	Lrrc71
MOUSE	2682937	Q6PGC9	Protein Zfp341	Zfp341
MOUSE	3606484	Q3U2K5	Lysine-specific demethylase 4D	Kdm4d
MOUSE	101838	P29037	TATA-box-binding protein	Tbp
MOUSE	1347476	P35583	Hepatocyte nuclear factor 3-beta	Foxa2
MOUSE	2442951	Q8BY46	Zinc finger protein 574	Znf574
MOUSE	2444684	Q8BP97	Rhomboid domain-containing protein 3	Rhbdd3
MOUSE	1345669	Q9JIB4	General transcription factor IIH subunit 2	Gtf2h2
MOUSE	1927642	Q9ER75	Iroquois-class homeodomain protein IRX-6	Irx6
MOUSE	894810	P79457	Histone demethylase UTY	Uty
MOUSE	2443697	Q8BU40	"NACHT, LRR and PYD domains-containing protein 4A"	Nlrp4a
MOUSE	1922664	Q52KE7	Cyclin-L1	Ccnl1
MOUSE	94866	Q60925	D site-binding protein	Dbp
MOUSE	107547	Q8BP18	Protein Zfp101	Zfp101
MOUSE	1298230	Q60809	CCR4-NOT transcription complex subunit 7	Cnot7
MOUSE	1097716	O35085	Homeobox protein ARX	Arx
MOUSE	3770268	A2AWM0	Protein Rhox3c	Rhox3c
MOUSE	95842	P31315	GS homeobox 1	Gsx1
MOUSE	1920231	Q9CUX1	52 kDa repressor of the inhibitor of the protein kinase	Prkrir
MOUSE	101897	Q00196	"POU domain, class 2, transcription factor 2"	Pou2f2
MOUSE	3511278	E0CZH3	Protein Foxi3	Foxi3
MOUSE	1924054	Q8VCD7	Lysine-specific demethylase 4C	Kdm4c
MOUSE	98310	Q60698	Ski oncogene	Ski
MOUSE	107404	Q64336	T-box brain protein 1	Tbr1
MOUSE	109330	P97458	Homeobox protein prophet of Pit-1	Prop1
MOUSE	104555	P54841	Transcription factor MafB	Mafb
MOUSE	3702408	A2ARR6	Protein Gm14418	Gm14418
MOUSE	102812	Q924W9	Rhombotin-1	Lmo1
MOUSE	1924057	Q5SPL2	PHD finger protein 12	Phf12
MOUSE	97489	Q02650	Paired box protein Pax-5	Pax5
MOUSE	2446775	A2BI74	Protein Ssxb6 (Fragment)	Ssxb6
MOUSE	1888496	Q9ES03	T-box transcription factor TBX20	Tbx20
MOUSE	3770262	A2A447	Protein Rhox2b	Rhox2b
MOUSE	109340	P97474	Pituitary homeobox 2	Pitx2
MOUSE	1913876	Q9DB75	Cell death-inducing p53-target protein 1	Cdip1
MOUSE	2140750	B2RRE4	Zinc finger protein 518B	Znf518b
MOUSE	96799	P10166	Protein L-Myc	Mycl
MOUSE	2686922	Q6V595	Kelch-like protein 6	Klhl6
MOUSE	2444084	Q8CCN1	"NACHT, LRR and PYD domains-containing protein 10"	Nlrp10
MOUSE	1924880	Q8BZ97	PR domain zinc finger protein 8	Prdm8
MOUSE	2387863	Q99ML0	Zinc finger MYND domain-containing protein 10	Zmynd10
MOUSE	1333833	O70374	Protein CBFA2T2	Cbfa2t2
MOUSE	1859211	P97431	Interferon regulatory factor 6	Irf6
MOUSE	88401	Q61412	Visual system homeobox 2	Vsx2
MOUSE	101895	P31360	"POU domain, class 3, transcription factor 2"	Pou3f2
MOUSE	98511	Q64092	Transcription factor E3	Tfe3
MOUSE	95546	Q61574	Forkhead box protein S1	Foxs1
MOUSE	88376	P27790	Major centromere autoantigen B	Cenpb
MOUSE	107610	E9Q6Y4	Zinc finger protein 394	Zfp94
MOUSE	1921283	Q6GQR8	Zinc finger protein 329	Znf329
MOUSE	103300	Q64701	Retinoblastoma-like protein 1	Rbl1
MOUSE	2442413	B1AZI6	THO complex subunit 2	Thoc2
MOUSE	107901	P70353	Nuclear transcription factor Y subunit gamma	Nfyc
MOUSE	97316	P23708	Nuclear transcription factor Y subunit alpha	Nfya
MOUSE	1332242	Q9Z304	Protein S-Myc	Mycs
MOUSE	1933765	P58544	BTB/POZ domain-containing protein 1	Btbd1
MOUSE	96909	P54843	Transcription factor Maf	Maf
MOUSE	1342541	P81183	Zinc finger protein Helios	Ikzf2
MOUSE	106927	P51827	AF4/FMR2 family member 3	Aff3
MOUSE	3642803	E9PZQ2	Protein Gm10033	Gm10033
MOUSE	1261436	Q810F8	T-box transcription factor TBX10	Tbx10
MOUSE	1343458	Q9Z1Y4	Thyroid receptor-interacting protein 6	Trip6
MOUSE	1918934	Q99J64	RNA-binding protein 43	Rbm43
MOUSE	1347064	Q9CQ39	Mediator of RNA polymerase II transcription subunit 21	Med21
MOUSE	3029632	Q5SWW4	Mediator of RNA polymerase II transcription subunit 13	Med13
MOUSE	1276533	Q61026	Nuclear receptor coactivator 2	Ncoa2
MOUSE	1096343	O35652	LIM/homeobox protein Lhx8	Lhx8
MOUSE	1101781	Q3UPW2	ETS-related transcription factor Elf-3	Elf3
MOUSE	1914104	Q8C006	Tripartite motif-containing protein 35	Trim35
MOUSE	5012150	J3QNY8	Uncharacterized protein	Gm19965
MOUSE	3036236	Q8CCT4	Transcription elongation factor A protein-like 5	Tceal5
MOUSE	1918114	Q14BE7	"Family with sequence similarity 47, member A"	Fam47c
MOUSE	1924782	B2RRL2	Jerky protein homolog-like	Jrkl
MOUSE	97168	P13297	Homeobox protein MSX-1	Msx1
MOUSE	1891915	Q9WVH3	Forkhead box protein O4	Foxo4
MOUSE	1332638	O88286	Protein Wiz	Wiz
MOUSE	102556	P70325	T-box transcription factor TBX4	Tbx4
MOUSE	1354159	O54917	Transcription factor E2F6	E2f6
MOUSE	88495	P27699	cAMP-responsive element modulator	Crem
MOUSE	2442164	Q8C4P0	Uncharacterized protein KIAA1958 homolog	unassigned
MOUSE	2442050	Q8BJ90	Zinc finger protein 771	Znf771
MOUSE	1344424	Q9WVG7	Protein odd-skipped-related 1	Osr1
MOUSE	104748	Q3URU2	Paternally-expressed gene 3 protein	Peg3
MOUSE	98362	Q04892	Transcription factor SOX-14	Sox14
MOUSE	88096	Q06507	Cyclic AMP-dependent transcription factor ATF-4	Atf4
MOUSE	1922093	Q9D5Z5	"Putative protein MSS51 homolog, mitochondrial"	Mss51
MOUSE	96396	P20067	DNA-binding protein inhibitor ID-1	Id1
MOUSE	2148252	A2A799	Protein 2610305D13Rik	2610305D13Rik
MOUSE	2446140	Q80VG1	Sex comb on midleg-like protein 4	Scml4
MOUSE	2685049	D3Z0W3	MCG56563	Zfp648
MOUSE	2442926	Q3UIK4	N6-adenosine-methyltransferase subunit METTL14	Mettl14
MOUSE	1917882	J3QPX0	Protein 5730507C01Rik	5730507C01Rik
MOUSE	1097714	O35185	Class E basic helix-loop-helix protein 40	Bhlhe40
MOUSE	95554	P26323	Friend leukemia integration 1 transcription factor	Fli1
MOUSE	1932051	Q8CHK4	Histone acetyltransferase KAT5	Kat5
MOUSE	2655768	Q99NC0	Transcription cofactor vestigial-like protein 1	Vgll1
MOUSE	2142523	Q68ED7	CREB-regulated transcription coactivator 1	Crtc1
MOUSE	98364	P48432	Transcription factor SOX-2	Sox2
MOUSE	98306	Q61045	Single-minded homolog 1	Sim1
MOUSE	109567	Q9DD24	WW domain-binding protein 5	Wbp5
MOUSE	3779227	F7CWA7	Protein Gm11009 (Fragment)	Gm11009
MOUSE	1339958	Q9WTM4	Nuclear factor erythroid 2-related factor 3	Nfe2l3
MOUSE	3770266	A2AWL9	Protein Rhox2c	Rhox2c
MOUSE	99542	Q61069	Upstream stimulatory factor 1	Usf1
MOUSE	1341884	Q9QUS4	Hairy/enhancer-of-split related with YRPW motif protein 2	Hey2
MOUSE	99421	Q61985	Nuclear factor erythroid 2-related factor 1	Nfe2l1
MOUSE	2442943	Q8K2R5	Zinc finger protein 668	Znf668
MOUSE	1353604	Q9WUU6	Hepatocyte nuclear factor 4-gamma	Hnf4g
MOUSE	96100	Q03172	Zinc finger protein 40	Hivep1
MOUSE	2141857	O70191	Cyclic AMP-dependent transcription factor ATF-5	Atf5
MOUSE	1915889	Q8R5A0	N-lysine methyltransferase SMYD2	Smyd2
MOUSE	96193	P31313	Homeobox protein Hox-C11	Hoxc11
MOUSE	1890948	Q920B9	FACT complex subunit SPT16	Supt16h
MOUSE	1919213	Q9CWM2	Cell division cycle-associated protein 4	Cdca4
MOUSE	1917580	Q8K019	Bcl-2-associated transcription factor 1	Bclaf1
MOUSE	3613390	Q504P9	Protein Rhox4e	Rhox4e
MOUSE	1352454	P12813	Nuclear receptor subfamily 4 group A member 1	Nr4a1
MOUSE	1916507	Q9JHC9	ETS-related transcription factor Elf-2	Elf2
MOUSE	1921539	Q5DP50	Protein Tex24	Tex24
MOUSE	2446772	Q6XAS4	Protein Ssxb3	Ssxb3
MOUSE	1202400	O55201	Transcription elongation factor SPT5	Supt5h
MOUSE	1915161	E9Q3R6	Protein Zfp169	Zfp169
MOUSE	3050795	P59759	MKL/myocardin-like protein 2	Mkl2
MOUSE	95461	P23683	Homeobox even-skipped homolog protein 1	Evx1
MOUSE	1914004	P58462	Forkhead box protein P1	Foxp1
MOUSE	1918614	Q69ZK6	Probable JmjC domain-containing histone demethylation protein 2C	Jmjd1c
MOUSE	97350	P42582	Homeobox protein Nkx-2.5	Nkx2-5
MOUSE	99780	Q62240	Lysine-specific demethylase 5D	Kdm5d
MOUSE	1277097	O70137	Homeobox protein aristaless-like 3	Alx3
MOUSE	1351610	Q9QZQ0	Neuronal PAS domain-containing protein 3	Npas3
MOUSE	97567	Q00175	Progesterone receptor	Pgr
MOUSE	2679257	E9QAF5	Protein Zfp760	Zfp760
MOUSE	2442796	Q8BTK5	SET and MYND domain-containing protein 4	Smyd4
MOUSE	95389	P09065	Homeobox protein engrailed-1	En1
MOUSE	2153466	Q91ZK0	Transcription factor AP-2-delta	Tfap2d
MOUSE	97491	P47239	Paired box protein Pax-7	Pax7
MOUSE	98512	P25976	Nucleolar transcription factor 1	Ubtf
MOUSE	3648850	D3Z694	Uncharacterized protein	Gm4799
MOUSE	2446210	Q8BW72	Lysine-specific demethylase 4A	Kdm4a
MOUSE	2141183	Q2VPU4	MLX-interacting protein	Mlxip
MOUSE	2441928	B0V2W4	Protein Zfp952	Zfp952
MOUSE	3713490	K7N6P1	MCG119345	Rhox2h
MOUSE	96109	Q61670	H2.0-like homeobox protein	Hlx
MOUSE	98363	P43267	Protein SOX-15	Sox15
MOUSE	1347464	Q60987	Forkhead box protein G1	Foxg1
MOUSE	1328322	A2AWF2	Protein Rex2	Rex2
MOUSE	1926179	Q9D2C6	DNA-directed RNA polymerase III subunit RPC8	Polr3h
MOUSE	2676586	Q70KY4	Forkhead box protein O6	Foxo6
MOUSE	1930704	Q99PV5	Class E basic helix-loop-helix protein 41	Bhlhe41
MOUSE	1197522	P81067	Iroquois-class homeodomain protein IRX-3	Irx3
MOUSE	1338076	Q3UHF7	Transcription factor HIVEP2	Hivep2
MOUSE	98282	P17433	Transcription factor PU.1	Spi1
MOUSE	1277234	O70306	T-box transcription factor TBX15	Tbx15
MOUSE	2443935	Q8BP86	snRNA-activating protein complex subunit 4	Snapc4
MOUSE	104672	Q61313	Transcription factor AP-2-beta	Tfap2b
MOUSE	101833	P41969	ETS domain-containing protein Elk-1	Elk1
MOUSE	1338762	O70433	Four and a half LIM domains protein 2	Fhl2
MOUSE	1920483	B8JJA7	Protein Zfp942	Zfp942
MOUSE	2445217	B7ZMP1	Probable Xaa-Pro aminopeptidase 3	Xpnpep3
MOUSE	2389445	Q8BGV5	Protein Zfp128	Zfp128
MOUSE	1924705	A2A7F4	Insulin-like 3	Rlf
MOUSE	96182	P17919	Homeobox protein Hox-B1	Hoxb1
MOUSE	102673	P50481	LIM/homeobox protein Lhx3	Lhx3
MOUSE	108359	O35137	Homeobox protein aristaless-like 4	Alx4
MOUSE	1919385	Q9D0P5	Pygopus homolog 1	Pygo1
MOUSE	1914307	Q99LW6	YY1-associated factor 2	Yaf2
MOUSE	107628	A2A7B5	Protein Prdm2	Prdm2
MOUSE	97276	P12979	Myogenin	Myog
MOUSE	1859333	Q9WV30	Nuclear factor of activated T-cells 5	Nfat5
MOUSE	1926171	G3X941	MCG142067	9130019O22Rik
MOUSE	5439450	D3Z6Q6	Protein Gm21981	Prickle4
MOUSE	96195	Q08624	Homeobox protein Hox-C4	Hoxc4
MOUSE	1336991	Q9JJP2	Tumor protein p73	Tp73
MOUSE	1891409	Q8K557	One cut domain family member 3	Onecut3
MOUSE	104671	P34056	Transcription factor AP-2-alpha	Tfap2a
MOUSE	2442284	Q3V0C1	Zinc finger matrin-type protein 1	Zmat1
MOUSE	1859274	O70209	PDZ and LIM domain protein 3	Pdlim3
MOUSE	2183438	Q3UKU1	RNA polymerase II elongation factor ELL2	Ell2
MOUSE	1203524	P97496	SWI/SNF complex subunit SMARCC1	Smarcc1
MOUSE	107810	P40630	"Transcription factor A, mitochondrial"	Tfam
MOUSE	97492	Q00288	Paired box protein Pax-8	Pax8
MOUSE	2444210	Q3UV55	Nuclear receptor subfamily 1 group D member 1	Nr1d1
MOUSE	1336883	O35182	Mothers against decapentaplegic homolog 6	Smad6
MOUSE	96113	P63158	High mobility group protein B1	Hmgb1
MOUSE	98505	P27889	Hepatocyte nuclear factor 1-beta	Hnf1b
MOUSE	3770277	A2ANE1	Protein Rhox3f	Rhox3f
MOUSE	2444691	Q3UNW5	Transcription factor CP2-like protein 1	Tfcp2l1
MOUSE	103076	P48281	Vitamin D3 receptor	Vdr
MOUSE	101762	P41971	ETS domain-containing protein Elk-3	Elk3
MOUSE	1347481	Q61850	Forkhead box protein C2	Foxc2
MOUSE	1920992	Q9ERG0	LIM domain and actin-binding protein 1	Lima1
MOUSE	106582	P48381	Transcription factor RFX3	Rfx3
MOUSE	3027905	Q6YCH1	TD and POZ domain-containing protein 5	Tdpoz5
