Entry	Entry name	Protein names	Gene names	Organism	Length	Interacts with	Cross-reference (BioGrid)	Cross-reference (DIP)	Cross-reference (IntAct)	Cross-reference (MINT)	Cross-reference (STRING)	Caution	Miscellaneous [CC]
P97333	NRP1_MOUSE	Neuropilin-1 (A5 protein) (CD antigen CD304)	Nrp1 Nrp	Mus musculus (Mouse)	923	P34152	201848;	DIP-39360N;	P97333;	MINT-99860;	10090.ENSMUSP00000026917;		
Q08857	CD36_MOUSE	Platelet glycoprotein 4 (Glycoprotein IIIb) (GPIIIB) (PAS IV) (PAS-4) (Platelet glycoprotein IV) (GPIV) (CD antigen CD36)	Cd36	Mus musculus (Mouse)	472		198587;		Q08857;	MINT-4090233;	10090.ENSMUSP00000080974;		
Q9QUK6	TLR4_MOUSE	Toll-like receptor 4 (CD antigen CD284)	Tlr4 Lps	Mus musculus (Mouse)	835	Q9JHF9	204224;	DIP-38573N;	Q9QUK6;		10090.ENSMUSP00000045770;		
P35918	VGFR2_MOUSE	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase NYK) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	Kdr Flk-1 Flk1	Mus musculus (Mouse)	1367	P35917; P08581; P16056		DIP-215N;	P35918;	MINT-4996697;	10090.ENSMUSP00000109144;		
P36895	BMR1A_MOUSE	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (BMP-2/BMP-4 receptor) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	Bmpr1a Acvrlk3 Bmpr	Mus musculus (Mouse)	532		198371;	DIP-5796N;	P36895;		10090.ENSMUSP00000035900;		
P35438	NMDZ1_MOUSE	"Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)"	Grin1 Glurz1	Mus musculus (Mouse)	938	Q62108; Q924X6	200067;	DIP-31577N;	P35438;	MINT-135802;	10090.ENSMUSP00000028335;		
P05622	PGFRB_MOUSE	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	Pdgfrb Pdgfr Pdgfr1	Mus musculus (Mouse)	1098	P39688; P18031; Q9JHL1; Q91YD9	202089;	DIP-39669N;	P05622;	MINT-2832882;	10090.ENSMUSP00000025522;		
Q64729	TGFR1_MOUSE	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (ESK2) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	Tgfbr1	Mus musculus (Mouse)	503	P15379; P55284; Q8TDM6; P98083-2	204163;	DIP-42262N;	Q64729;	MINT-1341331;	10090.ENSMUSP00000007757;		
Q61851	FGFR3_MOUSE	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (Heparin-binding growth factor receptor) (CD antigen CD333)	Fgfr3 Mfr3 Sam3	Mus musculus (Mouse)	801	Q9JID9		DIP-6031N;	Q61851;	MINT-5181473;	10090.ENSMUSP00000133064;		
Q61115	PTC1_MOUSE	Protein patched homolog 1 (PTC) (PTC1)	Ptch1 Ptch	Mus musculus (Mouse)	1434			DIP-60268N;			10090.ENSMUSP00000021921;		
Q61616	DRD1_MOUSE	D(1A) dopamine receptor (Dopamine D1 receptor)	Drd1 Drd1a Gpcr15	Mus musculus (Mouse)	446		199305;				10090.ENSMUSP00000021932;		
P25446	TNR6_MOUSE	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	Fas Apt1 Tnfrsf6	Mus musculus (Mouse)	327	O89110; Q9UER7; O35613; Q13158; Q61160; Q9ERH7; Q60953	199594;	DIP-31093N;	P25446;	MINT-144559;	10090.ENSMUSP00000025691;		
Q62312	TGFR2_MOUSE	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	Tgfbr2	Mus musculus (Mouse)	592	P55284; Q8TDM6; P98083-1; P98083-2	204164;	DIP-44605N;	Q62312;	MINT-5181700;	10090.ENSMUSP00000062333;		
P15209	NTRK2_MOUSE	BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB/GP95-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase)	Ntrk2 Trkb	Mus musculus (Mouse)	821	Q8K4V6; P35235; Q6PHU5	201869;	DIP-5722N;	P15209;	MINT-240722;	10090.ENSMUSP00000078757;		
Q01279	EGFR_MOUSE	Epidermal growth factor receptor (EC 2.7.10.1)	Egfr	Mus musculus (Mouse)	1210	P22682; P01133; P32883	199402;	DIP-5763N;	Q01279;	MINT-143143;	10090.ENSMUSP00000020329;		
P09581	CSF1R_MOUSE	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	Csf1r Csfmr Fms	Mus musculus (Mouse)	977	P07141	198928;	DIP-46415N;	P09581;	MINT-8013693;	10090.ENSMUSP00000025523;		
P31387	5HT5B_MOUSE	5-hydroxytryptamine receptor 5B (5-HT-5B) (5-HT5B) (Serotonin receptor 5B)	Htr5b 5ht5b	Mus musculus (Mouse)	370						10090.ENSMUSP00000057212;		
Q61618	AA3R_MOUSE	Adenosine receptor A3 (A3AR)	Adora3 Gpcr2	Mus musculus (Mouse)	319						10090.ENSMUSP00000000574;		
Q9ERK7	ACHB2_MOUSE	Neuronal acetylcholine receptor subunit beta-2	Chrnb2	Mus musculus (Mouse)	501			DIP-48730N;	Q9ERK7;		10090.ENSMUSP00000029562;		
P20782	ACHE_MOUSE	Acetylcholine receptor subunit epsilon	Chrne Acre	Mus musculus (Mouse)	493						10090.ENSMUSP00000099616;		
Q9QUI6	ACKR1_MOUSE	Atypical chemokine receptor 1 (Duffy antigen/chemokine receptor) (CD antigen CD234)	Ackr1 Darc Dfy Fy	Mus musculus (Mouse)	334						10090.ENSMUSP00000045134;		
O08707	ACKR2_MOUSE	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	Ackr2 Ccbp2 D6	Mus musculus (Mouse)	378						10090.ENSMUSP00000050119;		
P97717	ADA1B_MOUSE	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	Adra1b	Mus musculus (Mouse)	514						10090.ENSMUSP00000070200;		
P30545	ADA2B_MOUSE	Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	Adra2b	Mus musculus (Mouse)	450	Q14232			P30545;	MINT-4087111;	10090.ENSMUSP00000071798;		
Q8C4G9	AGRA1_MOUSE	Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123)	Adgra1 Gpr123	Mus musculus (Mouse)	578						10090.ENSMUSP00000026548;		
Q8R0T6	AGRG3_MOUSE	Adhesion G protein-coupled receptor G3 (G-protein coupled receptor 97)	Adgrg3 Gpr97	Mus musculus (Mouse)	542				Q8R0T6;	MINT-4096549;	10090.ENSMUSP00000051079;		
P35374	AGTR2_MOUSE	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2)	Agtr2	Mus musculus (Mouse)	363						10090.ENSMUSP00000086592;		
P09690	ACHB_MOUSE	Acetylcholine receptor subunit beta	Chrnb1 Acrb	Mus musculus (Mouse)	501		197935;		P09690;	MINT-2983098;	10090.ENSMUSP00000047270;		
Q9ERZ3	ACM3_MOUSE	Muscarinic acetylcholine receptor M3 (Mm3 mAChR)	Chrm3 Chrm-3	Mus musculus (Mouse)	589						10090.ENSMUSP00000055579;		
Q8BQS5	ADR2_MOUSE	Adiponectin receptor protein 2	Adipor2 D6Ucla1e	Mus musculus (Mouse)	386						10090.ENSMUSP00000032272;		
P23979	5HT3A_MOUSE	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	Htr3a 5ht3 Htr3	Mus musculus (Mouse)	487			DIP-48769N;			10090.ENSMUSP00000003826;		MISCELLANEOUS: The HA-stretch region of HTR3A seems to be responsible for the low conductance of HTR3A homomers compared to that of HTR3A/HTR3B heteromers.
Q60612	AA1R_MOUSE	Adenosine receptor A1	Adora1	Mus musculus (Mouse)	326						10090.ENSMUSP00000043522;		
P70170	ABCC9_MOUSE	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	Abcc9 Sur2	Mus musculus (Mouse)	1546					MINT-4996941;	10090.ENSMUSP00000084805;		
Q91X60	ACHA2_MOUSE	Neuronal acetylcholine receptor subunit alpha-2	Chrna2	Mus musculus (Mouse)	512						10090.ENSMUSP00000022620;		
Q8R4G9	ACHA3_MOUSE	Neuronal acetylcholine receptor subunit alpha-3	Chrna3	Mus musculus (Mouse)	499		225944;				10090.ENSMUSP00000034851;		
P49582	ACHA7_MOUSE	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Mus musculus (Mouse)	502		197934;	DIP-48732N;	P49582;		10090.ENSMUSP00000032738;		
P04756	ACHA_MOUSE	Acetylcholine receptor subunit alpha	Chrna1 Acra	Mus musculus (Mouse)	457		197931;	DIP-59594N;	P04756;	MINT-8388618;	10090.ENSMUSP00000028515;		
Q8BMN3	ACHB3_MOUSE	Neuronal acetylcholine receptor subunit beta-3	Chrnb3	Mus musculus (Mouse)	464						10090.ENSMUSP00000052297;		
P12657	ACM1_MOUSE	Muscarinic acetylcholine receptor M1	Chrm1 Chrm-1	Mus musculus (Mouse)	460						10090.ENSMUSP00000042632;		
Q64326	ACTHR_MOUSE	Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R)	Mc2r Acthr	Mus musculus (Mouse)	296						10090.ENSMUSP00000058691;		
Q61271	ACV1B_MOUSE	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	Acvr1b Alk4	Mus musculus (Mouse)	505		197954;		Q61271;	MINT-2842316;	10090.ENSMUSP00000000544;		
P97718	ADA1A_MOUSE	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor)	Adra1a Adra1c	Mus musculus (Mouse)	466						10090.ENSMUSP00000053703;		
Q9R1V6	ADA22_MOUSE	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22)	Adam22	Mus musculus (Mouse)	904				Q9R1V6;	MINT-4086922;	10090.ENSMUSP00000055000;		
O70174	ACHA4_MOUSE	Neuronal acetylcholine receptor subunit alpha-4	Chrna4 Acra4	Mus musculus (Mouse)	629		197932;	DIP-48731N;			10090.ENSMUSP00000066338;		
P97714	ADA1D_MOUSE	Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor)	Adra1d Adra1a Gpcr8	Mus musculus (Mouse)	562								
Q01338	ADA2A_MOUSE	Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	Adra2a	Mus musculus (Mouse)	450	Q14232			Q01338;		10090.ENSMUSP00000036203;		
Q91ZV8	AGRA2_MOUSE	Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)	Adgra2 Gpr124 Tem5	Mus musculus (Mouse)	1336						10090.ENSMUSP00000033876;	CAUTION: It is uncertain whether Met-1 or Met-8 is the initiator. {ECO:0000305}.	
Q80ZF8	AGRB3_MOUSE	Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)	Adgrb3 Bai3	Mus musculus (Mouse)	1522						10090.ENSMUSP00000035612;		
Q80T32	AGRD1_MOUSE	Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25)	Adgrd1 Gpr133 Pgr25	Mus musculus (Mouse)	903						10090.ENSMUSP00000060307;		MISCELLANEOUS: The N-terminal domain and autocatalytic activity of ADGRD1 at the GPCR proteolysis site (GPS) are not required for G-protein coupling activity. {ECO:0000250|UniProtKB:Q6QNK2}.
Q91ZE5	AGRE4_MOUSE	Adhesion G protein-coupled receptor E4 (EGF-like module receptor 4) (EGF-like module-containing mucin-like hormone receptor-like 4) (F4/80-like-receptor) (Seven-span membrane protein FIRE)	Adgre4 Emr4	Mus musculus (Mouse)	689					MINT-4997895;	10090.ENSMUSP00000025004;		
Q3V3Z3	AGRG5_MOUSE	Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27)	Adgrg5 Gm1109 Gpr114 Pgr27	Mus musculus (Mouse)	524						10090.ENSMUSP00000132628;		
Q80TR1	AGRL1_MOUSE	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)	Adgrl1 Kiaa0821 Lec2 Lphn1	Mus musculus (Mouse)	1466				Q80TR1;		10090.ENSMUSP00000118452;		
Q80TS3	AGRL3_MOUSE	Adhesion G protein-coupled receptor L3 (Latrophilin-3) (Lectomedin-3)	Adgrl3 Kiaa0768 Lec3 Lphn3	Mus musculus (Mouse)	1537			DIP-32218N;	Q80TS3;		10090.ENSMUSP00000072336;		
Q924I3	ACKR4_MOUSE	Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR)	Ackr4 Ccr11 Ccrl1	Mus musculus (Mouse)	350						10090.ENSMUSP00000075507;		
Q61288	ACVL1_MOUSE	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	Acvrl1 Acvrlk1 Alk-1	Mus musculus (Mouse)	502		197957;	DIP-47635N;	Q61288;	MINT-4086807;	10090.ENSMUSP00000000542;		
P37172	ACVR1_MOUSE	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I) (TSK-7L)	Acvr1 Acvrlk2 Tgfb1	Mus musculus (Mouse)	509		197953;	DIP-5798N;		MINT-1341279;	10090.ENSMUSP00000056784;		
P18762	ADRB2_MOUSE	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	Adrb2 Adrb2r	Mus musculus (Mouse)	418			DIP-59568N;	P18762;	MINT-1793203;	10090.ENSMUSP00000062256;		
P28334	5HT1B_MOUSE	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B)	Htr1b 5ht1b	Mus musculus (Mouse)	386						10090.ENSMUSP00000050898;		"MISCELLANEOUS: A residue in the 7th transmembrane region ('Thr-355' in human, Asn-351 in mouse and rat) is important for species-specific sensitivity to various agonists. {ECO:0000250}."
Q02152	5HT2B_MOUSE	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (5-HT-2F) (NP75 protein) (Serotonin receptor 2B)	Htr2b	Mus musculus (Mouse)	479						10090.ENSMUSP00000027431;		
Q64264	5HT1A_MOUSE	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (Serotonin receptor 1A)	Htr1a Gpcr18	Mus musculus (Mouse)	421						10090.ENSMUSP00000022235;		
Q02284	5HT1F_MOUSE	5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (5-HT-1E-beta) (Serotonin receptor 1F)	Htr1f 5ht1f Htr1eb	Mus musculus (Mouse)	366						10090.ENSMUSP00000063136;		
P30966	5HT5A_MOUSE	5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)	Htr5a 5ht5a	Mus musculus (Mouse)	357						10090.ENSMUSP00000038884;		
Q9R1C8	5HT6R_MOUSE	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	Htr6	Mus musculus (Mouse)	440		200479;				10090.ENSMUSP00000068333;		
Q60613	AA2AR_MOUSE	Adenosine receptor A2a	Adora2a	Mus musculus (Mouse)	410				Q60613;	MINT-4997181;	10090.ENSMUSP00000101060;		
Q2MKA5	ACHA5_MOUSE	Neuronal acetylcholine receptor subunit alpha-5	Chrna5	Mus musculus (Mouse)	467		225945;				10090.ENSMUSP00000091365;		
P02716	ACHD_MOUSE	Acetylcholine receptor subunit delta	Chrnd Acrd	Mus musculus (Mouse)	520		197937;				10090.ENSMUSP00000072983;		
P04760	ACHG_MOUSE	Acetylcholine receptor subunit gamma	Chrng Acrg	Mus musculus (Mouse)	519						10090.ENSMUSP00000027470;		
Q9ERZ4	ACM2_MOUSE	Muscarinic acetylcholine receptor M2	Chrm2 Chrm-2	Mus musculus (Mouse)	466						10090.ENSMUSP00000130874;		
P34968	5HT2C_MOUSE	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	Htr2c 5ht1c Htr1c	Mus musculus (Mouse)	459						10090.ENSMUSP00000043936;		
Q9JHJ5	5HT3B_MOUSE	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	Htr3b	Mus musculus (Mouse)	437				Q9JHJ5;		10090.ENSMUSP00000008734;		
Q9R0W9	ACHA6_MOUSE	Neuronal acetylcholine receptor subunit alpha-6	Chrna6 Nica6	Mus musculus (Mouse)	494						10090.ENSMUSP00000033882;		
Q8R493	ACHB4_MOUSE	Neuronal acetylcholine receptor subunit beta-4	Chrnb4 Acrb4	Mus musculus (Mouse)	495						10090.ENSMUSP00000034854;		
P56485	ACKR3_MOUSE	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor RDC1 homolog) (RDC-1)	Ackr3 Cmkor1 Cxcr7 Rdc1	Mus musculus (Mouse)	362						10090.ENSMUSP00000069114;		
P32211	ACM4_MOUSE	Muscarinic acetylcholine receptor M4 (Mm4 mAChR)	Chrm4 Chrm-4	Mus musculus (Mouse)	479				P32211;	MINT-7984826;	10090.ENSMUSP00000040808;		
Q920H4	ACM5_MOUSE	Muscarinic acetylcholine receptor M5	Chrm5	Mus musculus (Mouse)	532				Q920H4;		10090.ENSMUSP00000097185;		
P97288	5HT4R_MOUSE	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	Htr4	Mus musculus (Mouse)	388	P34947; P12931			P97288;		10090.ENSMUSP00000027560;		
P32304	5HT7R_MOUSE	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7)	Htr7	Mus musculus (Mouse)	448						10090.ENSMUSP00000126847;		
Q61224	5HT1D_MOUSE	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin receptor 1D)	Htr1d Gpcr14	Mus musculus (Mouse)	374						10090.ENSMUSP00000086052;		
P35363	5HT2A_MOUSE	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Mus musculus (Mouse)	471				P35363;		10090.ENSMUSP00000047774;		
Q60614	AA2BR_MOUSE	Adenosine receptor A2b	Adora2b	Mus musculus (Mouse)	332						10090.ENSMUSP00000018644;		
Q8CJ12	AGRG2_MOUSE	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Mouse epididymis-specific protein 6) (Me6)	Adgrg2 Gpr64 Me6	Mus musculus (Mouse)	1009						10090.ENSMUSP00000108019;		
Q8BM96	AGRG7_MOUSE	Adhesion G-protein coupled receptor G7 (G-protein coupled receptor 128)	Adgrg7 Gpr128	Mus musculus (Mouse)	785						10090.ENSMUSP00000023437;		
Q8JZZ7	AGRL2_MOUSE	Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin-2)	Adgrl2 Kiaa0786 Lphn2	Mus musculus (Mouse)	1487						10090.ENSMUSP00000101734;		
Q923X1	AGRL4_MOUSE	"Adhesion G protein-coupled receptor L4 (EGF, latrophilin seven transmembrane domain-containing protein 1)"	Adgrl4 Eltd1	Mus musculus (Mouse)	739						10090.ENSMUSP00000041939;		
Q6VVW5	ANPRB_MOUSE	Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)	Npr2	Mus musculus (Mouse)	1047		230934;			MINT-4997499;	10090.ENSMUSP00000030191;		
Q8K592	AMHR2_MOUSE	Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII)	Amhr2	Mus musculus (Mouse)	568				Q8K592;		10090.ENSMUSP00000023809;		
Q9CZ52	ANTR1_MOUSE	Anthrax toxin receptor 1 (Tumor endothelial marker 8)	Antxr1 Atr Tem8	Mus musculus (Mouse)	562						10090.ENSMUSP00000045634;		
P97793	ALK_MOUSE	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	Alk	Mus musculus (Mouse)	1621		198070;				10090.ENSMUSP00000083840;		
P18293	ANPRA_MOUSE	Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)	Npr1 Npra	Mus musculus (Mouse)	1057		201830;				10090.ENSMUSP00000029540;		
P25962	ADRB3_MOUSE	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	Adrb3 Adrb3r B3bar	Mus musculus (Mouse)	400		198008;		P25962;	MINT-146553;	10090.ENSMUSP00000080162;		
Q7TT36	AGRA3_MOUSE	Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125)	Adgra3 Gpr125	Mus musculus (Mouse)	1310						10090.ENSMUSP00000030971;		MISCELLANEOUS: Most adhesion GPCRs proteins undergo autoproteolysis at the GPS domain. ADGRA3 is predicted non-cleavable because of the lack of a consensus catalytic triad sequence within GPS domain. {ECO:0000250|UniProtKB:Q8IWK6}.
Q58Y75	AGRF3_MOUSE	Adhesion G-protein coupled receptor F3 (G-protein coupled receptor 113) (G-protein coupled receptor PGR23)	ADGRF3 Gm1041 Gpr113 Pcr113 Pgr23	Mus musculus (Mouse)	991						10090.ENSMUSP00000110422;		
P70180	ANPRC_MOUSE	Atrial natriuretic peptide receptor 3 (Atrial natriuretic peptide clearance receptor) (Atrial natriuretic peptide receptor type C) (ANP-C) (ANPR-C) (NPR-C) (EF-2)	Npr3	Mus musculus (Mouse)	536			DIP-46248N;	P70180;	MINT-4087811;	10090.ENSMUSP00000066737;		MISCELLANEOUS: Has low affinity for peptide hormones in the absence of bound chloride. {ECO:0000250}.
Q91VH1	ADR1_MOUSE	Adiponectin receptor protein 1	Adipor1	Mus musculus (Mouse)	375	Q9UKG1			Q91VH1;		10090.ENSMUSP00000027727;		
P34971	ADRB1_MOUSE	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	Adrb1 Adrb1r	Mus musculus (Mouse)	466	Q01063		DIP-59567N;	P34971;		10090.ENSMUSP00000040847;		
Q61549	AGRE1_MOUSE	Adhesion G protein-coupled receptor E1 (Cell surface glycoprotein F4/80) (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor)	Adgre1 Emr1 Gpf480	Mus musculus (Mouse)	931						10090.ENSMUSP00000004850;		MISCELLANEOUS: Most adhesion GPCRs proteins undergo autoproteolysis at the GPS domain. ADGRE1 is predicted non-cleavable because of the lack of a consensus catalytic triad sequence within GPS domain. {ECO:0000250|UniProtKB:Q14246}.
